"Page.total.likes","Type","Category","Post.Month","Post.Weekday","Post.Hour","Paid","Lifetime.Post.Total.Reach","Lifetime.Post.Total.Impressions","Lifetime.Engaged.Users","Lifetime.Post.Consumers","Lifetime.Post.Consumptions","Lifetime.Post.Impressions.by.people.who.have.liked.your.Page","Lifetime.Post.reach.by.people.who.like.your.Page","Lifetime.People.who.have.liked.your.Page.and.engaged.with.your.post","comment","like","share","Total.Interactions","RANK"
126345,3,2,6,7,11,0,12044,20327,2240,2193,3599,17717,10400,2119,0,104,13,117,69
109670,2,1,4,1,2,0,20920,26026,705,642,913,13546,9768,538,1,96,18,115,70
117764,2,3,5,3,11,0,3528,6181,470,415,583,4249,2352,322,2,95,17,114,71
116091,2,3,5,6,3,0,3332,5797,463,406,552,4347,2330,341,0,87,18,105,72
106928,2,1,4,4,3,1,5290,8132,612,570,857,6032,3794,454,1,89,14,104,73
124940,2,3,6,1,3,0,3576,5525,664,618,870,4229,2672,403,2,84,13,99,74
121540,2,2,5,7,14,0,3806,6486,722,658,880,4955,2772,361,1,79,17,97,75
125612,2,2,6,3,3,0,3322,5969,610,569,852,4111,2236,375,1,71,23,95,76
126141,3,2,6,6,4,0,8628,14847,870,843,1692,11970,6796,774,4,72,18,94,77
125612,2,1,6,2,13,0,3600,5807,691,656,913,3351,2110,436,0,72,21,93,78
106928,2,3,4,4,13,0,4406,6769,477,433,571,4550,2830,335,1,75,15,91,79
123047,2,2,6,5,3,0,3322,5553,702,656,863,3484,1968,328,2,74,14,90,80
126345,2,2,6,1,4,0,3046,4909,909,872,1147,3559,2126,477,1,71,17,89,81
109670,2,1,4,6,13,0,6172,10417,718,684,906,7692,4234,508,1,64,22,87,82
119198,2,3,5,2,1,0,3024,5630,596,560,721,4114,2098,341,0,64,20,84,83
123047,2,3,6,2,5,1,3662,6476,560,522,677,4930,2660,319,2,67,14,83,84
124940,2,3,6,7,3,1,4022,6503,647,616,995,5416,3312,423,3,65,14,82,85
111620,2,3,4,3,7,0,6596,9835,564,526,678,8242,5352,456,0,66,13,79,86
107907,2,3,4,1,3,0,4552,7253,471,444,569,4440,2664,316,1,52,24,77,87
123047,2,3,6,5,12,0,3234,5113,756,724,937,3476,2174,347,0,58,17,75,88
124940,2,3,6,7,10,0,3028,4794,579,548,740,3574,2184,349,2,59,12,73,89
125612,2,3,6,1,3,0,2763,4388,564,523,650,3519,2124,375,0,62,10,72,90
109670,2,3,4,7,14,0,3884,6406,518,483,597,4747,2686,392,1,57,13,71,91
109670,2,1,4,5,13,0,6668,10701,669,642,943,7956,4696,492,3,53,13,69,92
125612,2,1,6,4,11,0,2402,4072,170,145,286,3147,1794,137,5,57,5,67,93
125612,2,1,6,2,2,0,11620,21564,1160,1138,2042,20024,10568,920,5,54,7,66,94
123047,2,3,6,1,3,1,3294,5499,526,488,599,4658,2710,305,2,57,6,65,95
117764,1,1,5,1,2,0,12540,19301,344,322,396,16914,11008,289,3,46,14,63,96
109670,2,3,4,2,2,1,3130,5313,522,495,616,3821,2112,385,0,48,14,62,97
119198,2,3,5,2,12,0,2718,4698,566,528,663,3601,1992,306,0,50,10,60,98
123047,2,3,6,2,13,0,3418,5659,581,546,770,4491,2620,327,2,51,6,59,99
107907,2,1,4,6,9,0,3544,6156,509,482,701,5011,2746,387,1,51,6,58,100
113028,1,1,4,5,7,1,35360,45260,339,325,477,9105,5472,156,7,38,11,56,101
115368,2,1,4,1,2,0,11336,15350,583,547,724,13876,10160,484,4,41,9,54,102
126345,2,2,6,1,12,0,3212,4908,735,720,897,3399,2162,375,1,40,8,49,103
121540,2,3,6,1,3,0,3110,5405,732,712,892,4605,2540,342,2,33,10,45,104
109670,2,1,4,2,13,0,3334,5953,584,565,842,4954,2604,440,4,37,3,44,105
123047,2,1,6,3,11,0,13544,18474,759,733,1082,7326,4120,408,0,36,5,41,106
109670,2,1,4,3,8,0,9880,12695,524,497,658,7072,4732,382,0,35,5,40,107
126141,2,1,6,7,4,1,9652,16968,1400,1381,2801,15917,8972,1035,1,34,4,39,108
124940,2,1,6,6,12,1,52736,73584,1635,1622,2824,18580,10144,876,0,24,4,28,109
125612,2,1,6,4,7,0,1729,3289,596,591,735,2888,1406,340,0,23,2,25,110
125612,2,1,6,3,11,0,2585,4410,569,560,781,3802,2144,348,0,19,5,24,111
126141,2,1,6,5,11,1,2431,4180,389,383,7980,3963,2301,342,0,15,3,18,112
124940,2,1,6,7,4,0,8324,14480,840,834,1388,13786,7736,662,0,14,1,15,113
