"id","name","distance","stars","CertificateExcellence","TravellersChoice","EcoAward","n_pictures","n_rooms","airport","berlin","duesseldorf","frankfurt","hamburg","muenchen","p_avg","recommendation_percent","RANK","ausgezeichnet","sehrgut","befriedigend","mangelhaft","ungenuegend","families","couples","singles","business","location","sleep","room","service","costbenefit","cleanliness","n_rating","rating_overall","rating_overall_computed"
524,"Stage 47 Hotel",0.7,4,1,0,0,52,27,0,0,1,0,0,0,145.142853,85,30,83,69,11,7,8,20,70,15,50,4,4,4.5,4,4,4,178,4,4.191011236
525,"Hotel Duesseldorf Mitte",0.7,3.5,1,0,0,101,92,0,0,1,0,0,0,91.625,82,31,83,126,46,8,3,23,100,40,50,4.5,4,4,4,4,4.5,266,4,4.045112782
526,"NH Duesseldorf City Center",0.7,4,0,0,0,65,111,0,0,1,0,0,0,105,71,32,57,85,45,12,2,11,47,15,93,4.5,4,3.5,4,3.5,4,201,4,3.910447761
569,"Hotel Astoria",1.2,3,0,0,0,8,26,0,0,1,0,0,0,106,90,35,16,12,3,0,1,2,4,5,17,4.5,4,4,4.5,4.5,4.5,32,4.5,4.3125
615,"NH Duesseldorf City Nord",3.1,4,0,0,1,64,330,0,0,1,0,0,0,89,77,36,85,157,56,14,7,24,77,31,153,4,3.5,4,4,4,4.5,319,4,3.937304075
603,"Innside Duesseldorf Hafen",2.2,4,0,0,0,53,134,0,0,1,0,0,0,186.888885,77,38,29,34,11,6,1,4,31,3,32,4,4,4,4,4,4.5,81,4,4.037037037
535,"Hotel Haus Hillesheim",0.8,3,0,0,0,34,15,0,0,1,0,0,0,90,82,39,23,24,6,3,2,11,20,6,9,4.5,4,4,4,4,4.5,58,4,4.086206897
508,"Steigenberger Parkhotel Duesseldorf",0.4,5,1,0,0,70,130,0,0,1,0,0,0,226.666672,75,40,70,71,31,14,5,21,47,16,88,4.5,4.5,4,4,3.5,4.5,191,4,3.979057592
517,"Batavia Hotel",0.6,3,1,0,0,36,30,0,0,1,0,0,0,67,81,41,34,68,24,0,4,16,34,18,17,4,4,4,4,4.5,4.5,130,4,3.984615385
570,"Friends Hotel Duesseldorf",1.2,3.5,1,0,0,77,47,0,0,1,0,0,0,92.555557,78,45,26,49,12,9,1,8,35,9,34,4,3.5,4,4,4,4,97,4,3.927835052
621,"Novotel Duesseldorf City West",3.5,4,0,0,0,34,42,0,0,1,0,0,0,104,76,46,79,154,48,9,9,66,47,37,143,4,3.5,4,4,4,4.5,299,4,3.953177258
641,"Sheraton Duesseldorf Airport Hotel",6.3,4.5,0,0,1,85,198,1,0,1,0,0,0,149.25,75,47,108,247,101,19,9,42,92,73,228,4.5,4,4,4,3.5,4.5,484,4,3.880165289
562,"Ibis Duesseldorf Hauptbahnhof",1.1,2,0,0,0,39,166,0,0,1,0,0,0,66,77,49,93,321,115,23,11,54,135,127,177,4.5,4,3.5,4,4,4,563,4,3.820603908
625,"Mercure Hotel Duesseldorf City Nord",3.7,4,0,0,0,74,190,0,0,1,0,0,0,79.625,76,50,58,117,44,15,3,16,70,43,102,4,3.5,4,4,4,4.5,237,4,3.894514768
634,"Lindner Hotel Airport",5.5,4,0,0,0,75,201,1,0,1,0,0,0,118,77,52,63,161,53,18,3,17,46,62,157,4,4,4,4,4,4.5,298,4,3.882550336
619,"Holiday Inn Express Duesseldorf - City North",3.3,3.5,0,0,0,82,150,0,0,1,0,0,0,76.75,79,53,46,139,42,8,9,56,53,31,83,4,3.5,4,4,4,4.5,244,4,3.840163934
586,"Windsor Hotel",1.6,3.5,0,0,0,31,21,0,0,1,0,0,0,93,86,54,13,13,2,0,2,0,11,2,10,4.5,4,4.5,4,4.5,4.5,30,4,4.166666667
519,"Lindenhof Hotel",0.6,3,1,0,0,45,43,0,0,1,0,0,0,84,81,56,19,30,7,2,2,12,15,4,16,4.5,4,4,4,4,4.5,60,4,4.033333333
509,"Carathotel Duesseldorf",0.4,4,0,0,0,34,73,0,0,1,0,0,0,145,75,57,21,52,25,5,0,10,25,9,42,5,4,3.5,4.5,3.5,4.5,103,4,3.86407767
623,"Renaissance Hotel Duesseldorf",3.6,4,0,0,0,73,236,0,0,1,0,0,0,119,70,59,60,140,54,28,3,49,80,27,109,4,3.5,3.5,4,4,4,285,4,3.792982456
542,"CVJM Hotel (YMCA Hotel)",0.9,3,1,0,0,10,38,0,0,1,0,0,0,64,85,60,20,29,11,0,2,2,19,16,13,4,4,4,4,4,4.5,62,4,4.048387097
630,"FFFZ Hotel und Tagungshaus",4.8,3.5,0,0,0,5,47,0,0,1,0,0,0,110,100,61,4,5,0,0,0,1,2,2,5,4.5,4.5,4.5,4.5,4,5,9,4.5,4.444444444
563,"Famosa Hotel",1.1,3,0,0,0,20,18,0,0,1,0,0,0,56,86,62,28,46,9,2,3,10,19,24,12,4,4,4,4.5,4.5,4.5,88,4,4.068181818
543,"Hotel Bellevue",0.9,3.5,1,0,0,38,215,0,0,1,0,0,0,63.799999,80,63,22,48,20,2,1,13,12,26,25,4,4,4,4,4.5,4,93,4,3.946236559
527,"Burns Art Hotel Duesseldorf",0.7,4,0,0,0,31,35,0,0,1,0,0,0,110,75,64,28,43,17,5,2,6,24,9,39,4,4,4,4,4,4.5,95,4,3.947368421
646,"Park Inn by Radisson Duesseldorf Sued",7.1,4,0,0,0,38,121,0,0,1,0,0,0,71,73,68,28,32,17,7,2,5,24,11,43,4,3.5,4,4,4,4,86,4,3.895348837
611,"Haus Mooren Hotel Garni",2.6,4,0,0,0,1,10,0,0,1,0,0,0,76,92,69,3,8,2,0,0,1,5,1,5,4,3.5,4,4,4,4.5,13,4,4.076923077
536,"Mercure Hotel Duesseldorf City Center",0.8,4,0,0,0,90,164,0,0,1,0,0,0,120.14286,73,70,84,193,78,26,14,37,124,65,153,4,4,4,4,3.5,4,395,4,3.77721519
600,"TOP Garden Duesseldorf",2.1,3,0,0,0,28,31,0,0,1,0,0,0,88,86,72,9,10,3,0,1,1,4,1,13,4,3.5,4,4.5,4.5,4.5,23,4,4.130434783
624,"Innside Premium Hotels Duesseldorf Seestern",3.6,4,0,0,0,48,126,0,0,1,0,0,0,124.25,68,73,41,61,34,13,3,5,41,18,78,4,3.5,4,4,3.5,4.5,152,4,3.815789474
554,"BEST WESTERN Ambassador Hotel",1,3,0,0,0,64,62,0,0,1,0,0,0,99,70,74,30,77,41,7,3,25,38,20,44,4,3.5,3.5,4,4,4,158,4,3.784810127
513,"Leonardo Royal Hotel Duesseldorf Koenigsallee",0.5,4.5,0,0,0,83,253,0,0,1,0,0,0,108.625,67,77,46,109,54,17,11,16,44,17,126,4.5,4,3.5,3.5,3.5,4,237,3.5,3.683544304
528,"Wyndham Garden Duesseldorf City Centre Koenigsallee",0.7,3.5,0,0,0,52,82,0,0,1,0,0,0,84.25,70,78,33,86,43,17,8,10,51,40,60,4,4,3.5,4,4,4,187,3.5,3.636363636
591,"NH Duesseldorf City",1.8,4,0,0,0,148,338,0,0,1,0,0,0,76,63,79,59,142,100,23,10,23,75,40,169,4,3.5,3.5,3.5,3.5,4,334,3.5,3.649700599
601,"Courtyard by Marriott Duesseldorf Hafen",2.1,4,0,0,0,71,139,0,0,1,0,0,0,150,73,80,48,104,37,14,5,14,43,18,102,4,4,4,4,3.5,4.5,208,4,3.846153846
631,"Tulip Inn Duesseldorf Arena",5.1,3.5,0,0,0,49,288,0,0,1,0,0,0,159,70,81,23,41,20,8,3,4,14,4,61,4,4,4,4,3.5,4,95,4,3.768421053
537,"CENTRAL Hotel Duesseldorf",0.8,3,0,0,0,12,35,0,0,1,0,0,0,54.75,66,83,12,20,14,2,6,1,15,13,13,4.5,3.5,3.5,4,4,4,54,3.5,3.555555556
529,"Stadt Muenchen Hotel",0.7,4,0,0,0,13,90,0,0,1,0,0,0,127.714287,74,84,17,38,18,4,2,8,26,10,30,4.5,4,3.5,4,4,4.5,79,4,3.810126582
544,"InterCityHotel Duesseldorf",0.9,4,0,0,0,48,146,0,0,1,0,0,0,109.714287,75,85,20,88,28,8,5,10,39,22,48,4.5,4,3.5,4,4,4,149,3.5,3.738255034
622,"Courtyard Duesseldorf Seestern",3.5,4,0,0,0,77,221,0,0,1,0,0,0,115,80,86,33,79,28,5,7,10,39,21,72,4,3.5,4,4,4,4.5,152,4,3.828947368
580,"Ibis Duesseldorf City",1.4,2,0,0,0,65,148,0,0,1,0,0,0,61.42857,67,88,52,170,107,23,15,40,111,53,115,4,3.5,3.5,4,4,4,367,3.5,3.602179837
606,"Gildors Hotel",2.3,3,0,0,0,1,50,0,0,1,0,0,0,100.111114,85,91,5,7,2,0,0,0,2,1,9,4,4,3.5,4.5,4,4.5,14,4,4.214285714
582,"Hotel Doria",1.5,3,0,0,0,6,41,0,0,1,0,0,0,73,68,94,6,11,7,0,1,2,4,5,12,4,3.5,3.5,4,3.5,4,25,4,3.84
564,"Kastens Hotel",1.1,3.5,0,0,0,27,45,0,0,1,0,0,0,105.428574,63,99,13,27,15,9,0,13,16,6,16,4,4,3.5,4,3.5,4,64,3.5,3.6875
530,"Nikko Hotel Duesseldorf",0.7,5,0,0,0,129,386,0,0,1,0,0,0,167.399994,58,103,108,190,144,58,36,43,105,57,275,4,4,3.5,3.5,3.5,4,536,3.5,3.514925373
520,"BEST WESTERN Savoy Hotel",0.6,4,0,0,0,38,114,0,0,1,0,0,0,115.125,63,104,29,78,50,19,7,13,35,39,81,4.5,3.5,3.5,4,3.5,4,183,3.5,3.56284153
515,"Monopol Hotel",0.5,3,0,0,0,46,51,0,0,1,0,0,0,89.666664,65,105,12,49,23,8,9,14,27,12,21,4,3.5,3,3.5,3.5,4,101,3.5,3.465346535
571,"Guennewig Hotel Esplanade",1.2,4,0,0,0,24,78,0,0,1,0,0,0,93.833336,55,107,5,9,10,1,2,2,3,4,11,3.5,3.5,3.5,4,4,4,27,3.5,3.518518519
516,"Tryp by Wyndham Duesseldorf City Centre",0.5,3,0,0,0,39,65,0,0,1,0,0,0,89.666664,63,108,16,37,32,6,1,9,34,7,27,4.5,3.5,3.5,4,4,4,92,3.5,3.663043478
581,"Leonardo Hotel Duesseldorf City Center",1.4,4,0,0,0,56,134,0,0,1,0,0,0,85,68,111,22,66,46,7,7,7,19,26,80,4,4,3.5,4,3.5,4,148,3.5,3.601351351
556,"VIP Duesseldorf",1,3,0,0,0,5,14,0,0,1,0,0,0,69.222221,78,112,6,20,4,3,0,3,11,2,7,4,3.5,4,4,4,4,33,4,3.878787879
557,"BEST WESTERN Hotel Majestic",1,4,0,0,0,25,52,0,0,1,0,0,0,106.900002,50,115,5,18,18,5,2,2,10,6,22,4,3.5,3.5,3.5,3.5,3.5,48,3.5,3.395833333
558,"Asahi Hotel",1,4,0,0,0,37,60,0,0,1,0,0,0,159,60,118,16,31,19,10,5,5,14,14,40,4,3.5,3.5,3.5,3,3.5,81,3.5,3.530864198
650,"Holiday Inn Duesseldorf Airport Ratingen",7.9,4,0,0,0,130,199,1,0,1,0,0,0,76,57,119,34,125,89,32,13,36,59,55,129,3.5,3.5,3.5,3.5,3.5,4,293,3.5,3.460750853
575,"Residenz Duesseldorf Hotel",1.3,3,0,0,0,23,34,0,0,1,0,0,0,70.199997,63,120,11,27,22,8,2,7,25,10,16,4,3.5,3.5,3.5,4,4,70,3.5,3.528571429
572,"Novum Hotel Maxim Duesseldorf City",1.2,3,0,0,0,43,43,0,0,1,0,0,0,67,47,121,11,22,19,8,11,6,18,21,15,4,3.5,3,3.5,3.5,3.5,71,3,3.197183099
533,"City Hotel Duesseldorf",0.7,3,0,0,0,24,54,0,0,1,0,0,0,79,35,124,3,7,12,4,2,1,3,7,11,4,3,3,3.5,3,3.5,28,3,3.178571429
647,"Acora Hotel und Wohnen Duesseldorf",7.6,3,0,0,0,24,100,0,0,1,0,0,0,89.833336,76,125,16,13,9,3,1,1,11,5,15,4,3,3.5,4,4,4.5,42,4,3.952380952
559,"Hotel Acon",1,3,0,0,0,1,24,0,0,1,0,0,0,65,73,128,5,19,13,0,1,2,13,6,8,4,3.5,3.5,4.5,4.5,4,38,3.5,3.710526316
532,"City Apart Hotel",0.7,3,0,0,0,16,14,0,0,1,0,0,0,60.285713,63,129,4,14,7,6,2,4,7,3,4,4.5,3,3,3.5,3.5,3.5,33,3.5,3.363636364
645,"Hotel Schumann",6.7,3,0,0,0,14,42,0,0,1,0,0,0,68,40,130,5,7,12,5,1,2,2,10,10,3.5,3,3.5,3.5,4,3.5,30,3.5,3.333333333
616,"Hotel Haus am Zoo",3.1,3,0,0,0,15,22,0,0,1,0,0,0,115.14286,76,131,11,8,3,3,1,7,5,5,8,4,3.5,4,4.5,4,4.5,26,4,3.961538462
643,"Villa Im Park",6.5,4,0,0,0,11,10,0,0,1,0,0,0,119.166664,57,133,2,2,3,0,0,0,3,0,4,4,4,4.5,3.5,4,4,7,4,3.857142857
510,"Hotel Alt Duesseldorf",0.4,2.5,0,0,0,6,28,0,0,1,0,0,0,57,55,136,8,19,16,7,5,7,16,8,7,4.5,2.5,3,3.5,3.5,3.5,55,3.5,3.327272727
584,"KEMPE Komfort Hotel",1.5,3,0,0,0,35,41,0,0,1,0,0,0,71,52,137,12,20,15,8,8,5,17,15,16,4,3.5,3.5,3.5,4,3.5,63,3.5,3.317460317
607,"Hotel Flora",2.3,4,0,0,0,31,37,0,0,1,0,0,0,84,61,138,7,13,11,2,3,4,5,3,10,4,3.5,4,3.5,4,4.5,36,3.5,3.527777778
613,"HK-Hotel Duesseldorf City",2.8,3.5,0,0,0,4,70,0,0,1,0,0,0,69,51,141,0,13,14,2,0,3,7,1,14,4,3.5,3.5,4,3.5,4,29,3.5,3.379310345
644,"Hotel Elbroich Garni",6.6,3,0,0,0,8,52,0,0,1,0,0,0,75,55,143,5,12,8,3,2,2,3,8,16,3.5,3.5,3,3.5,3.5,3.5,30,3.5,3.5
609,"Residenz Hotel Eurostar",2.5,3,0,0,0,11,176,0,0,1,0,0,0,66,57,145,0,4,3,0,0,0,0,3,4,3.5,3,3.5,4,4.5,4,7,3.5,3.571428571
545,"Petersburg Hotel",0.9,3,0,0,0,12,90,0,0,1,0,0,0,82.75,48,148,7,11,13,4,2,4,5,7,13,4,3.5,3.5,4,4,4,37,3.5,3.459459459
628,"Hotel am Vogelsanger Weg",4,3,0,0,0,4,49,0,0,1,0,0,0,56,75,149,0,4,3,1,0,0,2,2,3,3,3,3,4.5,4,4.5,8,3.5,3.375
637,"Concorde Hotel Ascot",5.8,3,0,0,0,3,27,0,0,1,0,0,0,65,40,153,1,1,2,1,0,1,0,1,3,3.5,3.5,3,3.5,4,4.5,5,3.5,3.4
546,"Bahn-Hotel Dusseldorf",0.9,3,0,0,0,7,33,0,0,1,0,0,0,85,55,154,0,14,9,5,2,4,6,6,9,4,3,3,3,3.5,3,30,3,3.166666667
539,"Novum Hotel Plaza Duesseldorf Zentrum",0.8,3,0,0,0,60,40,0,0,1,0,0,0,63,33,156,6,19,18,13,15,8,14,12,19,4,3,3,3,3.5,3.5,71,3,2.830985915
594,"Stadthotel Duesseldorf",1.9,3,0,0,0,12,45,0,0,1,0,0,0,75,70,157,2,7,6,0,2,2,5,2,4,3.5,3.5,4,3.5,3,4,17,3.5,3.411764706
547,"Novum Business Hotel Madison Duesseldorf Hauptbahnhof",0.9,4,0,0,0,93,140,0,0,1,0,0,0,78,42,158,21,75,65,34,43,31,74,17,52,4,3,3,3,3.5,3.5,238,3,2.987394958
610,"Hotel Michelangelo",2.5,3,0,0,0,17,72,0,0,1,0,0,0,118.400002,58,161,11,11,11,4,4,1,7,1,17,3.5,3.5,3.5,3.5,3.5,4,41,3.5,3.512195122
648,"Waldhotel Unterbach",7.6,3,0,0,0,24,15,0,0,1,0,0,0,50,40,175,2,1,7,0,0,1,7,0,1,4,3.5,3.5,4,4.5,4,10,3.5,3.5
577,"Hansa Hotel",1.3,3,0,0,0,2,32,0,0,1,0,0,0,75,27,179,3,0,1,4,3,0,4,0,4,4,3,2.5,2.5,2.5,2.5,11,2.5,2.636363636
548,"Hotel Diana",0.9,3,0,0,0,2,20,0,0,1,0,0,0,55,54,180,5,8,2,6,4,1,8,4,3,3.5,3,2.5,2.5,3,3,25,3,3.16
632,"CB Comfort Business Hotel",5.2,4,0,0,0,9,45,0,0,1,0,0,0,78,28,181,0,2,4,1,0,0,0,0,6,3,2.5,3,3,3.5,3.5,7,3,3.142857143
511,"Neues Hotel an der Oper",0.4,4,0,0,0,19,48,0,0,1,0,0,0,58.75,38,182,3,14,19,4,9,3,5,7,19,4.5,3,3,3,3.5,3,49,3,2.959183673
549,"Hotel Herzog",0.9,3,0,0,0,1,26,0,0,1,0,0,0,60,62,183,2,8,3,0,3,0,5,2,4,4,3.5,3.5,4.5,4,4,16,3.5,3.375
597,"Hotel Karolinger",2,3,0,0,0,20,15,0,0,1,0,0,0,52,41,184,2,3,1,4,2,1,4,3,2,4,3.5,3,3.5,3.5,3,12,3,2.916666667
598,"Am Volksgarten Hotel",2,3,0,0,0,9,16,0,0,1,0,0,0,81,53,186,3,5,1,2,4,0,3,3,5,3,3,3,3,3.5,3.5,15,3,3.066666667
522,"Rheingold Hotel",0.6,3,0,0,0,9,38,0,0,1,0,0,0,65,33,198,3,13,16,7,16,5,9,16,18,4,3,2.5,3,3,3,55,2.5,2.636363636
573,"Minotel Antares Duesseldorf",1.2,3,0,0,0,9,48,0,0,1,0,0,0,51.200001,20,206,0,4,12,4,5,1,3,7,11,3.5,2.5,3,3,2.5,3,25,2.5,2.6
633,"Hotel Rolandsburg",5.2,4,0,0,0,16,54,0,0,1,0,0,0,81.666664,34,212,2,7,8,3,10,1,1,2,25,3.5,3,2.5,3.5,2.5,3,30,2.5,2.6
579,"Hotel Nizza",1.3,3,0,0,0,9,22,0,0,1,0,0,0,56,14,215,0,0,4,4,6,2,3,2,5,3.5,2,2,2,2,2.5,14,2,1.857142857
590,"Berliner Hof",1.7,3,0,0,0,15,38,0,0,1,0,0,0,54.666668,3,216,0,1,1,10,16,3,4,2,7,2.5,1.5,1.5,1.5,1.5,2,28,1.5,1.535714286
